Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C13, C14, C15, C16, C17, C18, C19, C20, C23, C7, C9",0603,13,0.1uF,C14663
"C12, C2, C21, C22, C3, C5, C6, C8",1206,8,10uF,C13585
"D1, D2, D3",D_SMA,3,SS14,C2480
"J2, J3, J4, J6, J7, J8","TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",6,Screw_Terminal_01x10,C5184956
L1,L_SOREDE_SNR.1050_10x10x5mm,1,68uH,C9187
"R1, R22, R23, R3",0603,4,390R,C23151
"R10, R11, R24, R26, R27, R28, R29, R32, R33, R35, R36, R38, R39, R4, R41, R42, R44, R45, R47, R48, R50, R51, R53, R54, R56, R57, R7, R8, R9",0603,29,0R,C17477
"R12, R25, R30, R31, R34, R37, R40, R43, R46, R49, R52, R55, R58",0603,13,120R,C22787
"R13, R14, R15, R17, R19, R2, R20, R21",0603,8,10k,C25804
"R16, R18, R5, R6",0603,4,4.7k,C23162
"RN1, RN10, RN11, RN12, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9",R_Array_Convex_4x0603,12,R_Pack04,C29718
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
"U10, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,13,SP3485EN,C8963
"U11, U12, U13, U14, U6, U7, U8, U9",SMDIP-4_W9.53mm,8,LTV-817S,C109227
U15,SOT-223-3_TabPin2,1,AMS1117-3.3,SOT-223
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0E1,C61063
