Designator,Mid X,Mid Y,Rotation,Layer
C1,80.5,-68.0,270.0,top
C12,121.061444,-65.955138,0.0,top
C18,128.746388,-77.5,180.0,top
C19,64.9,-63.3,270.0,top
C2,131.0,-61.0,270.0,top
C21,134.21654,-71.149908,270.0,top
C22,122.0,-73.525,270.0,top
C3,121.061444,-58.455138,0.0,top
C4,80.5,-71.0,270.0,top
C5,133.5,-61.0,270.0,top
C6,121.061444,-60.955138,0.0,top
C7,73.55379,-108.458971,270.0,top
C8,121.061444,-63.455138,0.0,top
D1,131.501087,-53.706794,270.0,top
D2,120.0,-69.0,180.0,top
D3,137.0,-57.0,90.0,top
J1,111.32,-57.15,0.0,top
J2,120.75,-137.3325,0.0,top
J3,78.75,-137.3325,0.0,top
J4,58.6675,-106.75,270.0,top
J6,58.6675,-68.25,270.0,top
J9,143.8325,-68.25,90.0,top
L1,124.0,-52.0,180.0,top
R1,109.0,-117.0,90.0,top
R10,132.825,-81.750997,0.0,top
R11,132.825,-80.250997,0.0,top
R12,135.8,-81.0,270.0,top
R13,79.0,-75.0,90.0,top
R15,120.175,-79.0,180.0,top
R16,74.675,-131.0,180.0,top
R17,73.675,-117.0,180.0,top
R18,65.0,-131.0,180.0,top
R19,66.925,-117.0,180.0,top
R2,120.175,-83.5,0.0,top
R20,82.175,-117.0,180.0,top
R21,91.0,-117.0,180.0,top
R22,125.5,-117.0,90.0,top
R23,133.0,-117.0,90.0,top
R3,117.0,-117.0,90.0,top
R4,78.0,-91.0,270.0,top
R5,82.175,-131.0,180.0,top
R6,90.675,-131.0,180.0,top
R7,120.175,-77.44,0.0,top
R8,120.175,-80.5,0.0,top
R9,120.175,-82.0,0.0,top
U1,95.25,-78.69208,0.0,top
U11,116.0,-125.0,270.0,top
U12,93.0,-124.0,90.0,top
U13,124.0,-125.0,270.0,top
U14,132.0,-125.0,270.0,top
U15,128.0,-72.0,0.0,top
U2,69.0,-103.0,180.0,top
U3,127.0,-62.0,180.0,top
U4,127.246388,-81.0,270.0,top
U5,71.1,-64.9,0.0,top
U6,67.5,-124.0,90.0,top
U7,76.0,-124.0,90.0,top
U8,84.5,-124.0,90.0,top
U9,108.0,-125.0,270.0,top
Y1,78.5,-69.5,270.0,top
