Comment,Designator,Footprint,LCSC
Screw_Terminal_01x10,"J2,J3,J4,J6,J9","Library:TerminalBlock_Phoenix_PT-1,5-10-3.5-H_1x10_P3.50mm_Horizontal",C5184956
10k,"R2,R4,R13,R15,R17,R19,R20,R21",Library:R_0603_1608Metric,C25804
SP3485EN,U4,Library:SOIC-8_3.9x4.9mm_P1.27mm,C8963
0.1uF,"C7,C18,C19",Library:C_0603_1608Metric,C14663
AM26LS31CDR,U5,Library:SOIC-16_3.9x9.9mm_P1.27mm,C6179
390R,"R1,R3,R22,R23",Library:R_0603_1608Metric,C23151
4.7k,"R5,R6,R16,R18",Library:R_0603_1608Metric,C23162
LTV-817S,"U6,U7,U8,U9,U11,U12,U13,U14",Library:SMDIP-4_W9.53mm,C109227
AM26LV32EIDR,U2,Library:SOIC-16_3.9x9.9mm_P1.27mm,C527448
0R,"R7,R8,R9,R10,R11",Library:R_0603_1608Metric,C17477
120R,R12,Library:R_0603_1608Metric,C22787
10uF,"C2,C3,C5,C6,C8,C12,C21,C22",Library:C_1206_3216Metric,C13585
20pf,"C1,C4",Library:R_0603_1608Metric,C1648
68uH,L1,Library:L_SOREDE_SNR.1050_10x10x5mm,C9187
SS14,"D1,D2,D3",Library:D_SMA,C2480
AMS1117-3.3,U15,Library:SOT-223-3_TabPin2,C6186
32.768khz 3215 12.5pf,Y1,Library:Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
XL1509-5.0E1,U3,Library:SOIC-8_3.9x4.9mm_P1.27mm,C61063
