Designator,Mid X,Mid Y,Layer,Rotation
C1,80.50,-68.00,T,270.00
C2,131.00,-61.00,T,270.00
C3,121.06,-58.46,T,0.00
C4,80.50,-71.00,T,270.00
C5,133.50,-61.00,T,270.00
C6,121.06,-60.96,T,0.00
C7,73.55,-108.46,T,270.00
C8,121.06,-63.46,T,0.00
C12,121.06,-65.96,T,0.00
C18,128.75,-77.50,T,180.00
C19,64.90,-63.30,T,270.00
C21,134.22,-71.15,T,270.00
C22,122.00,-73.53,T,270.00
D1,131.50,-53.71,T,270.00
D2,120.00,-69.00,T,180.00
D3,137.00,-57.00,T,90.00
J2,105.00,-136.50,T,0.00
J3,63.00,-136.50,T,0.00
J4,59.50,-91.00,T,270.00
J6,59.50,-52.50,T,270.00
J9,143.00,-84.00,T,90.00
L1,124.00,-52.00,T,180.00
R1,109.00,-117.00,T,90.00
R2,120.17,-83.50,T,0.00
R3,117.00,-117.00,T,90.00
R4,78.00,-91.00,T,270.00
R5,82.17,-131.00,T,180.00
R6,90.67,-131.00,T,180.00
R7,120.17,-77.44,T,0.00
R8,120.17,-80.50,T,0.00
R9,120.17,-82.00,T,0.00
R10,132.82,-81.75,T,0.00
R11,132.82,-80.25,T,0.00
R12,135.80,-81.00,T,270.00
R13,79.00,-75.00,T,90.00
R15,120.17,-79.00,T,180.00
R16,74.67,-131.00,T,180.00
R17,73.67,-117.00,T,180.00
R18,65.00,-131.00,T,180.00
R19,66.92,-117.00,T,180.00
R20,82.17,-117.00,T,180.00
R21,91.00,-117.00,T,180.00
R22,125.50,-117.00,T,90.00
R23,133.00,-117.00,T,90.00
U2,69.00,-103.00,T,270.00
U3,127.00,-62.00,T,270.00
U4,127.25,-81.00,T,0.00
U5,71.10,-64.90,T,90.00
U6,67.50,-124.00,T,90.00
U7,76.00,-124.00,T,90.00
U8,84.50,-124.00,T,90.00
U9,108.00,-125.00,T,270.00
U11,116.00,-125.00,T,270.00
U12,93.00,-124.00,T,90.00
U13,124.00,-125.00,T,270.00
U14,132.00,-125.00,T,270.00
U15,128.00,-72.00,T,180.00
Y1,78.50,-69.50,T,270.00
